Denkmalzone Christlicher Friedhof Idar (Tiefensteiner Straße),Idar-Oberstein,"1869 in „Mittelstweiler“ angelegt, 1871 erstmals belegt, mehrfach vergrößert; seit 1969 neuer Hauptfriedhof westlich davon „Im Schmalzgewann“; Kriegerdenkmal 1870/71: reliefierte, überdachte Stele, von acht Linden umgeben; Umfriedung mit barockisierendem Eingang wohl um 1900; Friedhofskapelle, Gelbsandsteinbau, gegen 1908; Kriegerdenkmal im Ehrenfriedhof für die 1914/18 Gefallenen, 1920; Friedhof für die Gefallenen von 1939/45 von Max Rupp, Idar-Oberstein, und Theodor Siegle, Saarbrücken, 1961; mehrere aufwändige Erbbegräbnisse","",""
Denkmalzone Christlicher Friedhof Niederau (Seitzenbachstraße/Hauptstraße),Idar-Oberstein,"dreiteilige parkartige Anlage, 1836 bis 1916 belegt; Soldatenfriedhof 1914/18; Kriegerdenkmal 1914/18 und 1939/45, Gedenkstein für die jüdischen Mitbewohner nach 1945; Erbbegräbnisse: Nr. 1 Gruft mit ägyptisierenden Eingang; Nr. 3 polygonaler gotisierender Pfeiler; Nr. 7 und 8 mehrere Grabsteine, Granitplatte, Granitstele, Bronzeurne; Nr. 29 Anlage von Kessler & Röhl, Berlin, Skulptur von H. Pohlmann, Berlin; Nr. 32 Engel mit Anker von P. Völker; Nr. 33: Marmorengel","",""
"Denkmalzone sogenannte Franzosenhäuser (Pappelstraße 1, 2, 3)",Idar-Oberstein,"Gruppe von drei von der Stadt errichteten Bauten für französische Besatzungsoffiziere; Zeltdachbauten, expressionistische Motive, ab 1920, Architekt Wilhelm Heilig, Langen",49.722749,7.297716
Denkmalzone Friedrich-Ebert-Ring 12–18,Idar-Oberstein,"drei anspruchsvolle Wohnblocks für französische Offiziere, 1922–24, Regierungsbaumeister Metz; Mittelbau, flankiert von Bauten mit sich durchdringenden Giebelfronten","",""
Denkmalzone Friedrich-Ebert-Ring 59–65,Idar-Oberstein,"vier gleichartige Mehrfamilienhäuser; dreigeschossige kubische Walmdachbauten auf Stützmauer, 1924","",""
"Denkmalzone Hauptstraße 260–274 (gerade Nummern), Naßheckstraße 1, 3",Idar-Oberstein,"Gruppe von Villen, individuell charakterisierte Bauten, zum Teil mit großen Gartenanlagen, in Richtung Naßheck kleinere Wohnhäuser, zahlreiche originale Einfriedungen, um 1905","",""
Denkmalzone Hauptstraße 281–309 (ungerade Nummern),Idar-Oberstein,"meist zweigeschossige Wohn- und Gewerbebauten in annähernd geschlossener Bauweise ein einheitliches Straßenbild bewirkend, 19. und frühes 20. Jahrhundert; Ziegel mit Sandsteinwerkteilen, Putz, Fachwerk, teilweise rückwärtig Fabrikationsgebäude; aufgelockert durch zwei villenartige Wohnhäuser (Nr. 303 barockisierend, 1905; Nr. 309, wohl 1890)","",""
Denkmalzone Jüdischer Friedhof Oberstein (Seitzenbachstraße),Idar-Oberstein,"wohl im 17. Jahrhundert angelegt, 1820 erweitert, älterer Teil 1945 aufgelöst; Grabsteine seit der Mitte des 19. Jahrhunderts in Mauer des jüngeren Teils eingelassen; Denkmäler überwiegend Sandstein oder Granit, Obelisken, Stelen; hinter Kirchhofshübel 14 weitere Grabsteinfragmente und -einfassungen; ursprünglich zugehörig die ehemalige Jüdische Trauerhalle (Seitzenbachstraße ohne Nummer, heute Werkstatt), Zentralbau mit Pyramidendach, erbaut 1914","",""
"Denkmalzone Klotzbergkaserne (Berliner Straße, Bleidornplatz, Juterbogstraße, Klotzbergstraße, Ostpreußenstraße, Pestmüllerring, Pommernstraße)",Idar-Oberstein,"Kaserne für zwei Infanteriebataillone im Zuge des Ausbaus von Idar-Oberstein zur Garnisonsstadt in nationalsozialistischer Zeit, auf terrassiertem Gelände um mehrere Höfe gruppierte Gebäude und Treppentürme mit Stabsgebäuden, Mannschaftshäusern, Reithalle, teilweise Bruchstein, 1936–38; stadtbildprägend",49.722749,7.297716
"Denkmalzone Mainzer Straße 56/58, 60, 64, 66, 69, 73, 75, 77, Dr.-Liesegang-Straße 1, Hauptstraße 123",Idar-Oberstein,"einziges weitgehend geschlossenes Villenviertel Idar-Oberstein, Villen in Gärten, um 1900 bis in die 1920er Jahre; teilweise lebhafte Dachlandschaften, Späthistorismus, Jugendstil, Architektur der 1920er Jahre; an der platzartigen Erweiterung am Südende der Mainzer Straße die Gewerbehalle (Dr.-Liesegang-Straße 1)","",""
"Denkmalzone Wilhelmstraße 40/42, 44, 46, 48, 49–51",Idar-Oberstein,"Komplex von Wohn- und Fabrikbauten um die Metallwarenfabrik Jakob Bengel (langgestreckte, zwei- und dreigeschossige Gewerbebauten, Unternehmervilla, Nr. 44), 1873 bis 1906","",""
"Burg Oberstein, sogenanntes Neues Schloss",Idar-Oberstein,"Ersterwähnung 1336, Ausbau im 15. und 16. Jahrhundert; 1855 Zerstörung von Dachstuhl und Innenräumen durch Brand; ursprünglich dreieckige Anlage; im Zentrum Reste von Wohnbauten, unter anderem der sogenannte Kaminbau und der Esel-bück-dich-Turm, beide gotisch; von der wohl späteren Vorburg Reste der drei Türme","",""
"Burg Stein oder Bosselstein, sogenanntes Altes Schloss (oberhalb der Felsenkirche)",Idar-Oberstein,"Ersterwähnung 1197, seit dem 15. Jahrhundert in die Ortsbefestigung miteinbezogen, spätestens seit dem 18. Jahrhundert Ruine; im Nordwesten am Eingang und im Südwesten der Ringmauer Reste der Wohngebäude, runder Bergfried","",""
Ortsbefestigung,Idar-Oberstein,"Ummauerung Obersteins, die Felsenkirche einbeziehend, aus grobem Effusivgestein, stadtseitig durch Strebepfeiler gestützt, im 15. und 16. Jahrhundert entstanden; erhaltene Teile: am Kirchberg auf halber Höhe des Weges zur Felsenkirche, Turm Im Gebück oberhalb Hauptstraße 476",49.722749,7.297716
(an) Alte Gasse 5,Idar-Oberstein,"Wappen des ehemaligen kaiserlichen Postamtes, 19. Jahrhundert",49.705076,7.328276
Amtsstraße 2,Idar-Oberstein,"Kranken- und Schwesternhaus; dreigeschossiger neugotischer Ziegelbau, Seitenrisalit mit Kapelle, 1900",49.703555,7.328178
Austraße 6,Idar-Oberstein,"villenartiges Wohnhaus mit Mansarddach, Neurenaissance, zweigeschossiger Wintergarten, spätes 19. Jahrhundert",49.69999,7.320901
Bahnhofstraße 1,Idar-Oberstein,"ehemaliges Centralhotel; dreigeschossiger historisierender Eckbau, Jugendstilanklänge, 1905–07, Architekten Gerhards & Hassert",49.69999,7.320901
Bahnhofstraße 3,Idar-Oberstein,"anspruchsvolles Eckwohnhaus, dreigeschossiger barockisierendes Mansarddachbau, Jugendstilanklänge, 1908/09, Architekt Hans Best, Kreuznach",49.69999,7.320901
(an) Bismarckstraße 12,Idar-Oberstein,"Stuckdekoration am Wohn- und Geschäftshaus, um 1905",49.721549,7.301165
Bismarckstraße 53,Idar-Oberstein,"barockisierende Mansarddach-Villa, 1910",49.718969,7.306016
Dietzenstraße 30,Idar-Oberstein,"villenartiges Wohnhaus mit Walmdach, um 1910; ortsbildprägend",49.716639,7.304803
Dietzenstraße 34,Idar-Oberstein,"malerisch-ländliche Villa, Anfang des 20. Jahrhunderts",49.71622,7.305082
Dietzenstraße 55,Idar-Oberstein,"mehrgeschossiges Wohn- und Geschäftshaus, neuklassizistisch-barockisierender Mansarddachbau, 1926",49.715818,7.305235
Dr.-Liesegang-Straße 1,Idar-Oberstein,"ehemalige Gewerbehalle; gelbsandsteingegliedertter Rotziegelbau, 1894/95",49.717594,7.305298
Dr.-Liesegang-Straße 3,Idar-Oberstein,"repräsentatives Wohnhaus, Jugendstilmotive, um 1905; straßenbildprägend mit Nr. 5",49.717396,7.304947
Dr.-Liesegang-Straße 4,Idar-Oberstein,"kubische Walmdach-Villa, 1924",49.71721,7.3051
Finsterheckstraße,Idar-Oberstein,"Wasserbehälter, zweigeschossiger turmartiger Baukörper, rustiziert, 1900",49.698143,7.332507
Forststraße,Idar-Oberstein,"Gedenkkreuz für Anne Freiin von Schorlemer, um 1905 (?); Gedenkstein, 1930",49.693516,7.341392
Forststraße 26,Idar-Oberstein,"ehemaliges Jagdhaus; anspruchsvolles Landhaus in zeittypischem Materialwechsel, letztes Viertel des 19. Jahrhunderts",49.693696,7.343709
Friedrich-Ebert-Ring 8,Idar-Oberstein,"malerisch-repräsentative Villa, 1903",49.702425,7.331654
Friedrich-Ebert-Ring 10,Idar-Oberstein,"anspruchsvolle Villa, ab 1911, Architekt Julius Schneider",49.702425,7.331187
Georg-Maus-Straße 2,Idar-Oberstein,"ehemalige Schillerschule; mächtiger barockisierender Baukörper, rückwärtig ehrenhofartig geöffnet, 1908–11, Stadtbaumeister Müller; stadtbildprägend",49.703905,7.318503
Hasenklopp 6,Idar-Oberstein,"schlossartige Anlage, barockisierender Mansarddachbau, Gartenpavillon, geschwungene Stützmauer, 1921–23, Architekt Paul Schultze-Naumburg",49.715934,7.303896
Hauptstraße,Idar-Oberstein,"Evangelische Pfarrkirche; ehemals St. Peter und Paul, kreuzförmiger Saalbau, 1751, Erweiterung mit Querhaus 1894–94, Umbau 1955/56, Architekt Hans Rost, Würzburg; romanischer Westturm (1114?), barocke Haube, wohl 1712; Grabstein M. C. Hauth, um 1742; auf dem Friedhof Ehrenmal für die Gefallenen des Ersten Weltkriegs",49.704849,7.326992
Hauptstraße 48,Idar-Oberstein,"Eckwohn- und Geschäftshaus, Eisenfachwerk mit Ziegelausmauerung, Burbacher Hütte; straßenbildprägend",49.69999,7.320901
Hauptstraße 70,Idar-Oberstein,"ehemaliges Schulhaus; dreigeschossiger kubischer Walmdachbau, sogenannter oldenburgischer Spätklassizismus, 1856/57, Architekt Peter Reinhard Casten, Birkenfeld; Dreiecksgiebel nach 1900, Portal mit Balkon nach 1933; ortsbildprägend",49.69999,7.320901
(an) Hauptstraße 71,Idar-Oberstein,"stuckierte Fassade, 1922, des dreigeschossigen Wohn- und Geschäftshauses von 1888",49.69999,7.320901
Hauptstraße 72,Idar-Oberstein,"repräsentatives dreigeschossiges Wohnhaus, Neurenaissancemotive, rückwärtig Stall und Scheune, 1863/64",49.69999,7.320901
Hauptstraße 76,Idar-Oberstein,"viergeschossiges Wohn- und Geschäftshaus, Neue Sachlichkeit, 1931, Architekt Johannes Weiler, Köln",49.69999,7.320901
Hauptstraße 78,Idar-Oberstein,"repräsentatives historistisches Wohn- und Geschäftshaus, 1900, Architekt Hubert Himmes, Idar-Oberstein",49.69999,7.320901
Hauptstraße 103 und 105,Idar-Oberstein,"Wohnhaus mit Mansarddach, 1852, Überformungen 1890 und 1905; rückwärtig Ökonomie, 1912; Gesamtanlage in zurückhalten barockisierenden Formen",49.69999,7.320901
Hauptstraße 108,Idar-Oberstein,"herrschaftliche Villa, klassizierende Neurenaissancemotive, französischer Landhausstil, 1870/71, Architekt Louis Purper, Paris; rückwärtig Ökonomiebauten",49.69999,7.320901
Hauptstraße 118,Idar-Oberstein,"repräsentative Neurenaissance-Villa, 1894; heute Deutsches Edelsteinmuseum",49.69999,7.320901
Hauptstraße 123,Idar-Oberstein,"repräsentative Walmdach-Villa, Jugendstildekor, 1901, Architekt Hans Weszkalnys, Saarbrücken",49.69999,7.320901
Hauptstraße 126,Idar-Oberstein,"repräsentatives Wohn- und Geschäftshaus, wohl 1890er Jahre; in der Torfahrt Tonreliefs",49.69999,7.320901
(an) Hauptstraße 129,Idar-Oberstein,stattliches neugotisches Eingangstor,49.69999,7.320901
Hauptstraße 135,Idar-Oberstein,"villenartiges Wohnhaus, sandsteingegliederter Rotziegelbau, Neurenaissance- und neubarocke Motive, wohl um 1890",49.69999,7.320901
Hauptstraße 143,Idar-Oberstein,"mächtiges dreigeschossiges Wohnhaus mit Mansarddach, 1910; stadtbildprägend",49.69999,7.320901
Hauptstraße 145,Idar-Oberstein,"dreigeschossiges historistisches Wohnhaus, sandsteingegliederter Ziegelbau, Neurenaissance- und Jugendstilmotive",49.69999,7.320901
Hauptstraße 147,Idar-Oberstein,"dreigeschossiges repräsentatives Wohnhaus, neubarocke, Louis-Seize- und Jugendstilmotive, 1908",49.69999,7.320901
Hauptstraße 148,Idar-Oberstein,"dreigeschossiges anspruchsvolles Wohnhaus, barockisierender Mansarddachbau, um 1900; Gesamtanlage mit rückwärtigem Fabrikationsgebäude und weiterem Wohnhaus von 1910/11",49.69999,7.320901
Hauptstraße 149,Idar-Oberstein,"ehemaliges Hotel Fürstenhof; Rotziegelbau mit Putzflächen, Jugendstildekor; 1904",49.69999,7.320901
Hauptstraße 150,Idar-Oberstein,"kleines, aufwändig gestaltetes Wohnhaus, drittes Viertel des 19. Jahrhunderts",49.69999,7.320901
Hauptstraße 151,Idar-Oberstein,"Wohnhaus mit Eingangsloggia, Mansarddach, um 1910",49.69999,7.320901
Hauptstraße 153,Idar-Oberstein,"malerisch-ländliche Villa, neugotische Motive, um 1900",49.69999,7.320901
Hauptstraße 155,Idar-Oberstein,"repräsentative Neurenaissance-Villa, 1894/95, Architekt Massing, Trier",49.69999,7.320901
Hauptstraße 156,Idar-Oberstein,"zweieinhalbgeschossiges repräsentatives Wohnhaus, 1870/71 und 1889",49.69999,7.320901
Hauptstraße 162,Idar-Oberstein,"villenartiges Wohnhaus, 1893, Architekt Wilhelm Müller, Frankfurt; Umbau 1929, Architekt Johannes Weiler, Köln; hölzerne Gartenlaube, Aussichtsturm",49.69999,7.320901
Hauptstraße 163,Idar-Oberstein,"Jugendstil-Wohnhaus, bezeichnet 1902, Architekt Hubert Himmes, Idar-Oberstein",49.69999,7.320901
Hauptstraße 177,Idar-Oberstein,"Wohnhaus, expressionistisch variierte Jugendstilmotive, bezeichnet 1927/28, Architekt Johannes Weiler, Köln",49.69999,7.320901
Hauptstraße 185,Idar-Oberstein,"eingeschossiges Wohnhaus, expressionistische Motive, 1923, Architekt Johannes Weiler, Köln",49.69999,7.320901
Hauptstraße 192,Idar-Oberstein,"malerisch-ländliche Villa, 1905; ortsbildprägend",49.69999,7.320901
Hauptstraße 194,Idar-Oberstein,"Mansarddach-Villa, 1911, Architekt Paul Schultze-Naumburg; ortsbildprägend",49.69999,7.320901
Hauptstraße 248,Idar-Oberstein,"landhausartiges Wohnhaus mit Mansarddach, 1911, Architekt Georg Küchler, Darmstadt",49.69999,7.320901
(bei) Hauptstraße 260,Idar-Oberstein,"ungewöhnliche Jugendstileinfriedung, 1904",49.69999,7.320901
Hauptstraße 264,Idar-Oberstein,"Sandstein-Villa auf asymmetrischem Grundriss, neugotische und Jugendstil-Motive, um 1905; Ausstattung",49.69999,7.320901
Hauptstraße 270,Idar-Oberstein,"ländliche Villa, Effusivgestein, Sandstein, Fachwerk, glasierte Ziegel, um 1905",49.69999,7.320901
Hauptstraße 274,Idar-Oberstein,"villenartiges Wohnhaus, malerischverschachtelter Putzbau mit Kniestock, 1905",49.69999,7.320901
Hauptstraße 289,Idar-Oberstein,"Sitzungsgebäude der Loge zum Felsentempel; symmetrisch gegliederter Putzbau, Jugendstildekor, 1906",49.69999,7.320901
Hauptstraße 291,Idar-Oberstein,"Wohnhaus, sandsteingegliederter Ziegelbau mit Fachwerkteilen, gegen Ende des 19. Jahrhunderts, Architekt wohl Max Jager; Umbau 1909 und 1914",49.69999,7.320901
Hauptstraße 313,Idar-Oberstein,"eingeschossiges Wohnhaus mit Mansarddach, ländliche und expressionistische Motive, 1923/24, Architekt Julius Schneider; Ausstattung",49.69999,7.320901
